source_id,source_name,RA,DEC,z_hetdex,z_hetdex_src,z_hetdex_conf,source_type,detectid,selected_det,det_type,line_id,RA_det,DEC_det,src_separation,n_members,gmag,Av,ebv,wave,wave_err,flux,flux_err,flux_obs,flux_err_obs,sigma,sigma_err,continuum,continuum_err,continuum_obs,continuum_err_obs,sn,sn_err,chi2,chi2_err,flux_noise_1sigma_obs,flux_noise_1sigma,apcor,counterpart_mag,counterpart_mag_err,counterpart_dist,counterpart_catalog_name,counterpart_filter_name,plya_classification,z_elixer,best_pz,z_diagnose,cls_diagnose,stellartype,agn_flag,fwhm,throughput,shotid,field,date,obsid,multiframe,fiber_id,weight,x_raw,y_raw,x_ifu,y_ifu
4000000229977,HETDEX_J111820.59+514133.1,169.58580017089844,51.692535400390625,2.504692792892456,elixer,0.05316326767206192,lae,3001996598,True,line,Lya,169.58580017089844,51.69253921508789,3.4150946248701075e-06,1,24.438390731811523,0.04956764355301857,0.0180771853774786,4259.0,0.47999998927116394,17.187053680419922,1.978212833404541,16.15999984741211,1.8600000143051147,3.509999990463257,0.46000000834465027,0.13826218247413635,0.09571997821331024,0.12999999523162842,0.09000000357627869,6.300000190734863,0.6000000238418579,1.0,0.23000000417232513,2.3450000286102295,2.49403715133667,0.8899999856948853,26.207468032836914,0.3450797498226166,0.0,HSC-DEX,r,0.9990000128746033,2.504692792892456,0.05316326767206192,-999.0,,,-1.0,2.3368375301361084,0.15539999306201935,20181214013,dex-spring,20181214,13,multi_027_085_001_RU,20181214013_3_multi_027_085_001_RU_085,0.17020000517368317,381,780,7.630000114440918,15.420000076293945
4000000229955,HETDEX_J111814.30+514314.2,169.55960083007812,51.72060775756836,2.7609941959381104,elixer,0.015136821195483208,lae,3001996736,True,line,Lya,169.55960083007812,51.72060775756836,0.0,1,23.977994918823242,0.0516512393951416,0.018837066367268562,4570.47021484375,0.46000000834465027,12.421871185302734,1.9429081678390503,11.699999809265137,1.8300000429153442,2.4600000381469727,0.4399999976158142,0.3078925311565399,0.11678682267665863,0.28999999165534973,0.10999999940395355,6.2803730964660645,0.5199999809265137,1.0099999904632568,0.2199999988079071,2.116460084915161,2.247042417526245,0.8960000276565552,22.980525970458984,0.07119687646627426,2.043246269226074,HSC-DEX,r,0.5566904544830322,2.7609941959381104,0.015136821195483208,-999.0,,,-1.0,2.3368375301361084,0.15539999306201935,20181214013,dex-spring,20181214,13,multi_047_075_075_LL,20181214013_3_multi_047_075_075_LL_005,0.17309999465942383,551,61,-11.4399995803833,0.0
4000000229809,HETDEX_J111851.08+514320.9,169.7128448486328,51.722476959228516,2.4998130798339844,elixer,0.633679986000061,lae,3001998999,True,line,Lya,169.7128448486328,51.722476959228516,0.0,1,24.831804275512695,0.048834919929504395,0.01780996285378933,4253.06982421875,0.3100000023841858,11.22176742553711,1.721521019935608,10.5600004196167,1.6200000047683716,1.7300000190734863,0.4000000059604645,0.053133368492126465,0.10626673698425293,0.05000000074505806,0.10000000149011612,6.699999809265137,0.3199999928474426,1.0199999809265137,0.25999999046325684,2.0460000038146973,2.174217462539673,0.8859999775886536,27.23695182800293,3.830444574356079,0.0,HSC-DEX,r,0.9990000128746033,2.4998130798339844,0.633679986000061,-999.0,,,-1.0,2.3368375301361084,0.15539999306201935,20181214013,dex-spring,20181214,13,multi_326_082_034_RU,20181214013_3_multi_326_082_034_RU_103,0.17430000007152557,376,938,11.4399995803833,13.220000267028809
4000000252466,HETDEX_J112153.11+513215.8,170.47129821777344,51.53772735595703,3.0208661556243896,elixer,0.06666667014360428,lae,3002218490,True,line,Lya,170.47129821777344,51.537723541259766,1.0245284101983998e-05,1,25.894208908081055,0.039793454110622406,0.014512564986944199,4886.35986328125,0.49000000953674316,11.664689064025879,1.189422607421875,11.180000305175781,1.1399999856948853,4.440000057220459,0.550000011920929,-0.041734129190444946,0.05216766148805618,-0.03999999910593033,0.05000000074505806,8.800000190734863,0.5400000214576721,1.0499999523162842,0.2199999988079071,1.0779999494552612,1.1247347593307495,0.921999990940094,25.64401626586914,0.1515117734670639,0.0,HSC-DEX,r,0.9990000128746033,3.0208661556243896,0.06666667014360428,-999.0,,,-1.0,1.4545602798461914,0.16949999332427979,20190105023,dex-spring,20190105,23,multi_302_036_041_RU,20190105023_2_multi_302_036_041_RU_101,0.3799000084400177,694,917,16.530000686645508,13.220000267028809
4000000252459,HETDEX_J112212.73+513212.8,170.5530242919922,51.536888122558594,2.885505199432373,elixer,0.5333333611488342,lae,3002218720,True,line,Lya,170.55300903320312,51.536888122558594,9.491129276284482e-06,1,27.651504516601562,0.03783072903752327,0.013796764425933361,4721.85986328125,0.49000000953674316,8.23006820678711,0.9805151224136353,7.889999866485596,0.9399999976158142,3.5299999713897705,0.5099999904632568,-0.08344808965921402,0.052155058830976486,-0.07999999821186066,0.05000000074505806,6.300000190734863,0.5199999809265137,1.0099999904632568,0.23000000417232513,1.1979999542236328,1.2496352195739746,0.9369999766349792,99.9000015258789,0.0,0.0,HSC-DEX,r,0.9990000128746033,2.885505199432373,0.5333333611488342,-999.0,,,-1.0,1.4545602798461914,0.16949999332427979,20190105023,dex-spring,20190105,23,multi_304_044_045_LU,20190105023_1_multi_304_044_045_LU_088,0.3059000074863434,619,796,-11.4399995803833,-22.030000686645508
4000000252444,HETDEX_J112141.09+513132.9,170.4211883544922,51.525794982910156,2.9042418003082275,elixer,0.2725127041339874,lae,3002219141,True,line,Lya,170.4211883544922,51.525794982910156,0.0,1,24.288204193115234,0.04075651243329048,0.014863790012896061,4744.6298828125,0.47999998927116394,7.260793685913086,0.9729881882667542,6.940000057220459,0.9300000071525574,2.8499999046325684,0.4300000071525574,0.09416014701128006,0.05231119319796562,0.09000000357627869,0.05000000074505806,6.309999942779541,0.4300000071525574,1.0499999523162842,0.2199999988079071,1.1540000438690186,1.2073423862457275,0.9480000138282776,24.62679100036621,0.12326714396476746,0.049587953835725784,HSC-DEX,r,0.670320451259613,2.9042418003082275,0.2725127041339874,-999.0,,,-1.0,1.4545602798461914,0.16949999332427979,20190105023,dex-spring,20190105,23,multi_306_037_057_RU,20190105023_3_multi_306_037_057_RU_109,0.3905999958515167,626,990,-3.809999942779541,13.220000267028809
4000000252428,HETDEX_J112145.62+513022.4,170.4400634765625,51.506229400634766,2.4655659198760986,elixer,0.800000011920929,lae,3002219199,True,line,Lya,170.4400634765625,51.506229400634766,0.0,1,25.290475845336914,0.03990805149078369,0.014554358087480068,4211.52001953125,1.0199999809265137,10.639961242675781,1.8294005393981934,10.119999885559082,1.7400000095367432,6.949999809265137,1.2999999523162842,0.021027591079473495,0.06308277696371078,0.019999999552965164,0.05999999865889549,6.190000057220459,0.6100000143051147,0.9700000286102295,0.2199999988079071,1.1390000581741333,1.197521448135376,0.9330000281333923,24.59458351135254,0.09026318788528442,0.0,HSC-DEX,r,0.9990000128746033,2.4655659198760986,0.800000011920929,-999.0,,,-1.0,1.4545602798461914,0.16949999332427979,20190105023,dex-spring,20190105,23,multi_308_047_024_LL,20190105023_2_multi_308_047_024_LL_035,0.3537999987602234,362,324,11.4399995803833,-4.409999847412109
4000000252416,HETDEX_J112219.80+513342.9,170.58251953125,51.561927795410156,3.2263684272766113,elixer,0.10000000149011612,lae,3002219420,True,line,Lya,170.58251953125,51.561927795410156,0.0,1,24.091699600219727,0.03747899830341339,0.013668489642441273,5136.10009765625,1.7000000476837158,10.348406791687012,2.812856674194336,9.970000267028809,2.7100000381469727,7.039999961853027,2.109999895095825,0.05189772695302963,0.09341590851545334,0.05000000074505806,0.09000000357627869,6.130000114440918,0.6399999856948853,1.1100000143051147,0.2199999988079071,1.1100000143051147,1.1521295309066772,0.9259999990463257,26.11106300354004,0.3315727114677429,0.0,HSC-DEX,r,0.6857734322547913,3.2263684272766113,0.10000000149011612,-999.0,,,-1.0,1.4545602798461914,0.16949999332427979,20190105023,dex-spring,20190105,23,multi_310_033_002_RU,20190105023_3_multi_310_033_002_RU_096,0.31769999861717224,822,874,-20.34000015258789,15.420000076293945
4000000252412,HETDEX_J112204.54+513113.3,170.5189208984375,51.52035903930664,3.071357488632202,elixer,0.06666667014360428,lae,3002219455,True,line,Lya,170.5189208984375,51.52035903930664,0.0,1,25.55925941467285,0.038498327136039734,0.014040235430002213,4947.72021484375,0.49000000953674316,9.245707511901855,1.0099477767944336,8.880000114440918,0.9700000286102295,3.940000057220459,0.5400000214576721,0.062470994889736176,0.05205916613340378,0.05999999865889549,0.05000000074505806,7.989999771118164,0.5199999809265137,1.1200000047683716,0.23000000417232513,0.9990000128746033,1.0401421785354614,0.925000011920929,25.719284057617188,0.18204103410243988,0.0,HSC-DEX,r,0.9990000128746033,3.071357488632202,0.06666667014360428,-999.0,,,-1.0,1.4545602798461914,0.16949999332427979,20190105023,dex-spring,20190105,23,multi_312_045_065_RL,20190105023_3_multi_312_045_065_RL_056,0.27709999680519104,733,503,-5.079999923706055,6.610000133514404
4000000252402,HETDEX_J112218.39+513606.2,170.5766143798828,51.60171890258789,2.614931583404541,elixer,0.5333333611488342,lae,3002219502,True,line,Lya,170.5766143798828,51.60171890258789,0.0,1,25.722932815551758,0.037934526801109314,0.013834618963301182,4393.0400390625,0.6600000262260437,7.390976428985596,1.3295382261276245,7.059999942779541,1.2699999809265137,2.880000114440918,0.550000011920929,0.0,0.07328163832426071,0.0,0.07000000029802322,6.130000114440918,0.4399999976158142,1.0199999809265137,0.2199999988079071,1.2120000123977661,1.2688192129135132,0.9449999928474426,-999.0,-999.0,-999.0,nan,nan,0.9990000128746033,2.614931583404541,0.5333333611488342,-999.0,,,-1.0,1.4545602798461914,0.16949999332427979,20190105023,dex-spring,20190105,23,multi_313_023_010_LU,20190105023_2_multi_313_023_010_LU_077,0.33889999985694885,454,704,16.530000686645508,-22.030000686645508
